query_id,query_text,source,paper_id,title,abstract_preview,url,tfidf_rank,biobert_rank,relevant,notes
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,32548736,Current therapy of KRAS-mutant lung cancer.,"KRAS mutations are the most frequent gain-of-function alterations in patients with lung adenocarcinoma (LADC) in the Western world. Although they have been identified decades ago, prior efforts to target KRAS signaling with single-agent therapeutic approaches such as farnesyl transferase inhibitors, prenylation inhibition, impairment of KRAS downstream signaling, and synthetic lethality screens ha",https://pubmed.ncbi.nlm.nih.gov/32548736/,1,2,1,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,35930804,An Immunogenic Model of KRAS-Mutant Lung Cancer Enables Evaluation of Targeted Therapy and Immunotherapy Combinations.,"Mutations in oncogenes such as KRAS and EGFR cause a high proportion of lung cancers. Drugs targeting these proteins cause tumor regression but ultimately fail to elicit cures. As a result, there is an intense interest in how to best combine targeted therapies with other treatments, such as immunotherapies. However, preclinical systems for studying the interaction of lung tumors with the host immu",https://pubmed.ncbi.nlm.nih.gov/35930804/,2,4,1,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,35938195,KRAS-targeted therapy in the treatment of non-small cell lung cancer.,"KRAS mutations are one of the most common driver mutations in non-small cell lung cancer. Though previously believed to be an undruggable target, recent advances in therapeutics have seen new targeted agents against KRAS mutations. The objective of this article is to review currently available and upcoming KRAS-targeted treatments. Currently available trials examining KRAS-targeted therapy in non-",https://pubmed.ncbi.nlm.nih.gov/35938195/,3,1,1,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,34089836,Targeting KRAS in non-small-cell lung cancer: recent progress and new approaches.,"Rat sarcoma (RAS) is the most frequently mutated oncogene in human cancer, with Kirsten rat sarcoma (KRAS) being the most commonly mutated RAS isoform. Overall, KRAS accounts for 85% of RAS mutations observed in human cancers and is present in 35% of lung adenocarcinomas (LUADs). While the use of targeted therapies and immune checkpoint inhibitors (CPIs) has drastically changed the treatment lands",https://pubmed.ncbi.nlm.nih.gov/34089836/,4,3,1,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,39047616,The next-generation KRAS inhibitors…What comes after sotorasib and adagrasib?,"The Kirsten rat sarcoma viral oncogene homolog (KRAS) is one of the first driver oncogenes identified in human cancer in the early 1980s. However, it has been deemed 'undruggable' for nearly four decades until the discovery of KRAS G12C covalent inhibitors, which marked a pivotal breakthrough. Currently, sotorasib and adagrasib have been approved by the US FDA to treat patients with non-small cell",https://pubmed.ncbi.nlm.nih.gov/39047616/,5,,1,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,34985916,Targeted Therapies for Lung Cancer Patients With Oncogenic Driver Molecular Alterations.,"Lung cancer has traditionally been classified by histology. However, a greater understanding of disease biology and the identification of oncogenic driver alterations has dramatically altered the therapeutic landscape. Consequently, the new classification paradigm of non-small-cell lung cancer is further characterized by molecularly defined subsets actionable with targeted therapies and the treatm",https://pubmed.ncbi.nlm.nih.gov/34985916/,6,10,0,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,38625662,Targeting KRASG12C in Non-Small-Cell Lung Cancer: Current Standards and Developments.,"Among the most common molecular alterations detected in non-small-cell lung cancer (NSCLC) are mutations in Kristen Rat Sarcoma viral oncogene homolog (KRAS). KRAS mutant NSCLC is a heterogenous group of diseases, different from other oncogene-driven tumors in terms of biology and response to therapies. Despite efforts to develop drugs aimed at inhibiting KRAS or its signaling pathways, KRAS had r",https://pubmed.ncbi.nlm.nih.gov/38625662/,7,6,1,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,38635884,CRISPR-Cas9 Screening Identifies KRAS-Induced COX2 as a Driver of Immunotherapy Resistance in Lung Cancer.,"Oncogenic KRAS impairs antitumor immune responses. As effective strategies to combine KRAS inhibitors and immunotherapies have so far proven elusive, a better understanding of the mechanisms by which oncogenic KRAS drives immune evasion is needed to identify approaches that could sensitize KRAS-mutant lung cancer to immunotherapy. In vivo CRISPR-Cas9 screening in an immunogenic murine lung cancer ",https://pubmed.ncbi.nlm.nih.gov/38635884/,8,,1,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,34884633,The Role of EREG/EGFR Pathway in Tumor Progression.,"Aberrant activation of the epidermal growth factor receptor (EGFR/ERBB1) by erythroblastic leukemia viral oncogene homolog (ERBB) ligands contributes to various tumor malignancies, including lung cancer and colorectal cancer (CRC). Epiregulin (EREG) is one of the EGFR ligands and is low expressed in most normal tissues. Elevated EREG in various cancers mainly activates EGFR signaling pathways and ",https://pubmed.ncbi.nlm.nih.gov/34884633/,9,,0,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,39337530,Emerging Targets in Non-Small Cell Lung Cancer.,"Lung cancer is responsible for a high burden of disease globally. Over the last two decades, the discovery of targetable oncogenic genomic alterations has revolutionized the treatment landscape for early-stage and advanced non-small cell lung cancer (NSCLC). New molecular drivers continue to emerge as promising therapeutic targets, including KRAS non-G12C, RAF/MEK, HER3, Nectin-4, folate receptor ",https://pubmed.ncbi.nlm.nih.gov/39337530/,10,,1,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,35046095,Expanding the Reach of Precision Oncology by Drugging All KRAS Mutants.,"KRAS is the most frequently mutated oncogene, harboring mutations in approximately one in seven cancers. Allele-specific KRASG12C inhibitors are currently changing the treatment paradigm for patients with KRASG12C-mutated non-small cell lung cancer and colorectal cancer. The success of addressing a previously elusive KRAS allele has fueled drug discovery efforts for all KRAS mutants. Pan-KRAS drug",https://pubmed.ncbi.nlm.nih.gov/35046095/,,5,1,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,19847166,Systematic RNA interference reveals that oncogenic KRAS-driven cancers require TBK1.,"The proto-oncogene KRAS is mutated in a wide array of human cancers, most of which are aggressive and respond poorly to standard therapies. Although the identification of specific oncogenes has led to the development of clinically effective, molecularly targeted therapies in some cases, KRAS has remained refractory to this approach. A complementary strategy for targeting KRAS is to identify gene p",https://pubmed.ncbi.nlm.nih.gov/19847166/,,7,0,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,38402609,Adeno-to-squamous transition drives resistance to KRAS inhibition in LKB1 mutant lung cancer.,"KRASG12C inhibitors (adagrasib and sotorasib) have shown clinical promise in targeting KRASG12C-mutated lung cancers; however, most patients eventually develop resistance. In lung patients with adenocarcinoma with KRASG12C and STK11/LKB1 co-mutations, we find an enrichment of the squamous cell carcinoma gene signature in pre-treatment biopsies correlates with a poor response to adagrasib. Studies ",https://pubmed.ncbi.nlm.nih.gov/38402609/,,8,1,
Q2,KRAS oncogene lung cancer targeted therapy,pubmed,32725342,Molecular epidemiology and diagnostics of KRAS mutations in human cancer.,"RAS mutation is the most frequent oncogenic alteration in human cancers. KRAS is the most frequently mutated followed by NRAS. The emblematic KRAS mutant cancers are pancreatic, colorectal, lung adenocarcinomas and urogenital cancers. KRAS mutation frequencies are relatively stable worldwide in various cancer types with the one exception of lung adenocarcinoma. The frequencies of KRAS variant alle",https://pubmed.ncbi.nlm.nih.gov/32725342/,,9,0,
