query_id,query_text,source,paper_id,title,abstract_preview,url,tfidf_rank,biobert_rank,relevant,notes
Q3,TP53 tumour suppressor apoptosis cancer,pubmed,8977035,TP53 tumour suppressor gene: clues to molecular carcinogenesis and cancer therapy.,"The tumour suppressor gene product TP53 is clearly a component in several biochemical pathways, including transcription, DNA repair, genomic stability, cell cycle control and apoptosis, that are central to human carcinogenesis. TP53 is functionally inactivated by mutational, viral and cellular mechanisms in the majority of human cancers. Analysis of the spectrum of TP53 mutations provides clues to",https://pubmed.ncbi.nlm.nih.gov/8977035/,1,1,1,
Q3,TP53 tumour suppressor apoptosis cancer,pubmed,16498444,ASPP [corrected] and cancer.,"One of the most frequently mutated genes in human cancers, tumour suppressor p53 (TP53), can induce cell-cycle arrest and apoptosis. The apoptotic function of p53 is tightly linked to its tumour-suppression function and the efficacy of many cancer therapies depends on this. The identification of a new family of proteins, known as ASPPs (ankyrin-repeat-, SH3-domain- and proline-rich-region-containi",https://pubmed.ncbi.nlm.nih.gov/16498444/,2,7,1,
Q3,TP53 tumour suppressor apoptosis cancer,pubmed,11595834,p73 in apoptosis.,"The TP53 tumour-suppressor gene belongs to a family that includes the two recently identified homologues TP63 and TP73. Overexpression of p73 can activate typical p53-responsive genes and induce apoptosis like p53. In addition, activation of p73 has been implicated in apoptotic cell death induced by aberrant cell proliferation and some forms of DNA-damage. These data together with the localization",https://pubmed.ncbi.nlm.nih.gov/11595834/,3,,0,
Q3,TP53 tumour suppressor apoptosis cancer,pubmed,35396345,"Of the many cellular responses activated by TP53, which ones are critical for tumour suppression?","The tumour suppressor TP53 is a master regulator of several cellular processes that collectively suppress tumorigenesis. The TP53 gene is mutated in ~50% of human cancers and these defects usually confer poor responses to therapy. The TP53 protein functions as a homo-tetrameric transcription factor, directly regulating the expression of ~500 target genes, some of them involved in cell death, cell ",https://pubmed.ncbi.nlm.nih.gov/35396345/,4,3,1,
Q3,TP53 tumour suppressor apoptosis cancer,pubmed,36766853,The Role of TP53 in Adaptation and Evolution.,"The TP53 gene is a major player in cancer formation, and it is considered the most important tumor suppressor gene. The p53 protein acts as a transcription factor, and it is involved in DNA repair, senescence, cell-cycle control, autophagy, and apoptosis. Beyond cancer, there is evidence that TP53 is associated with fertility, aging, and longevity. Additionally, more evidence exists that genetic v",https://pubmed.ncbi.nlm.nih.gov/36766853/,5,5,1,
Q3,TP53 tumour suppressor apoptosis cancer,pubmed,29149101,How does p53 induce apoptosis and how does this relate to p53-mediated tumour suppression?,"The tumour suppressor gene TP53 is mutated in ~50% of human cancers. In addition to its function in tumour suppression, p53 also plays a major role in the response of malignant as well as nontransformed cells to many anticancer therapeutics, particularly those that cause DNA damage. P53 forms a homotetrameric transcription factor that is reported to directly regulate ~500 target genes, thereby con",https://pubmed.ncbi.nlm.nih.gov/29149101/,6,2,1,
Q3,TP53 tumour suppressor apoptosis cancer,pubmed,36796534,"Malathion alters the transcription of target genes of the tumour suppressor tp53 and cancerous processes in Colossoma macropomum: Mechanisms of DNA damage response, oxidative stress and apoptosis.","Different classes of pesticides such as fungicides, herbicides, and insecticides, can induce differential expression of genes that are involved in tumorigenesis events in fish, including the expression of tumor suppressor tp53. The degree and duration of the stressful condition is decisive in defining which tp53-dependent pathway will be activated. Herein we evaluate the target genes expression th",https://pubmed.ncbi.nlm.nih.gov/36796534/,7,,0,
Q3,TP53 tumour suppressor apoptosis cancer,pubmed,17496437,[TP53 mutations and molecular epidemiology].,"Tumor suppressor p53 protein is activated by a variety of cellular stresses through several pathways and transactivates its downstream genes, including regulators of cell cycle, apoptosis and DNA repair. The loss of p53 function by TP53 gene mutations therefore fails to activate these genes and is thought to be a critical cause of carcinogenesis and/or tumor progression. TP53 is one of the most fr",https://pubmed.ncbi.nlm.nih.gov/17496437/,8,6,1,
Q3,TP53 tumour suppressor apoptosis cancer,pubmed,40524430,The TP53 tumor suppressor gene: From molecular biology to clinical investigations.,"Extensively studied over the past four decades, the TP53 gene has emerged as a pivotal watchman in cellular defense and a key factor in cancer biology. TP53 is the most frequently mutated gene in human malignancies, 50% of which carry alterations to it. Initially, the functions of p53 were thought to be restricted to cell-cycle arrest and apoptosis. With time, however, a growing number of function",https://pubmed.ncbi.nlm.nih.gov/40524430/,9,8,1,
Q3,TP53 tumour suppressor apoptosis cancer,pubmed,38311377,Cell fate regulation governed by p53: Friends or reversible foes in cancer therapy.,"Cancer is a leading cause of death worldwide. Targeted therapies aimed at key oncogenic driver mutations in combination with chemotherapy and radiotherapy as well as immunotherapy have benefited cancer patients considerably. Tumor protein p53 (TP53), a crucial tumor suppressor gene encoding p53, regulates numerous downstream genes and cellular phenotypes in response to various stressors. The affec",https://pubmed.ncbi.nlm.nih.gov/38311377/,10,,1,
