query_id,query_text,source,paper_id,title,abstract_preview,url,tfidf_rank,biobert_rank,relevant,notes
Q4,EGFR tyrosine kinase inhibitor resistance non-small cell,pubmed,36787696,CD70 is a therapeutic target upregulated in EMT-associated EGFR tyrosine kinase inhibitor resistance.,Effective therapeutic strategies are needed for non-small cell lung cancer (NSCLC) patients with epidermal growth factor receptor (EGFR) mutations that acquire resistance to EGFR tyrosine kinase inhibitors (TKIs) mediated by epithelial-to-mesenchymal transition (EMT). We investigate cell surface proteins that could be targeted by antibody-based or adoptive cell therapy approaches and identify CD70,https://pubmed.ncbi.nlm.nih.gov/36787696/,1,,1,
Q4,EGFR tyrosine kinase inhibitor resistance non-small cell,pubmed,38689087,Targeting pyruvate dehydrogenase kinase 1 overcomes EGFR C797S mutation-driven osimertinib resistance in non-small cell lung cancer.,"Osimertinib, a selective third-generation epidermal growth factor receptor (EGFR) tyrosine kinase inhibitor (TKI), effectively targets the EGFR T790M mutant in non-small cell lung cancer (NSCLC). However, the newly identified EGFR C797S mutation confers resistance to osimertinib. In this study, we explored the role of pyruvate dehydrogenase kinase 1 (PDK1) in osimertinib resistance. Patients exhib",https://pubmed.ncbi.nlm.nih.gov/38689087/,2,7,1,
Q4,EGFR tyrosine kinase inhibitor resistance non-small cell,pubmed,38275043,Recent Developments in Tyrosine Kinase Inhibitor-based Nanotherapeutics for EGFR-resistant Non-small Cell Lung Cancer.,"The advent of drug resistance in response to epidermal growth factor receptor (EGFR)- tyrosine kinase inhibitor (TKI) targeted therapy represents a serious challenge in the management of non-small cell lung cancer (NSCLC). These acquired resistance mutations, attributed to several advanced EGFR mutations and, necessitated the development of new-generation TKIs. Nanomedicine approaches provide a pl",https://pubmed.ncbi.nlm.nih.gov/38275043/,3,3,1,
Q4,EGFR tyrosine kinase inhibitor resistance non-small cell,pubmed,39423817,Overcoming tyrosine kinase inhibitor resistance in lung cancer brain metastasis with CTLA4 blockade.,"Lung cancer brain metastasis (LCBM) poses a significant clinical challenge due to acquired resistance to tyrosine kinase inhibitor (TKI) treatment. To elucidate its underlying mechanisms, we employed single-cell RNA sequencing analysis on surgically obtained LCBM samples with diverse genetic backgrounds and TKI treatment histories. Our study uncovers that TKI treatment elevates the immune checkpoi",https://pubmed.ncbi.nlm.nih.gov/39423817/,4,,0,
Q4,EGFR tyrosine kinase inhibitor resistance non-small cell,pubmed,40505315,Molecular mechanisms of acquired resistance to EGFR tyrosine kinase inhibitors in non-small cell lung cancer.,"Tyrosine kinase inhibitors (TKIs) have revolutionized the management of epidermal growth factor receptor (EGFR)-mutant non-small cell lung cancer (NSCLC). Despite the initially favorable outcomes, these patients inevitably acquire resistance to EGFR-TKIs. The molecular mechanism of the acquired resistance is highly complex and heterogeneous, and can be generalized as three categories, including EG",https://pubmed.ncbi.nlm.nih.gov/40505315/,5,1,1,
Q4,EGFR tyrosine kinase inhibitor resistance non-small cell,pubmed,38461173,Tet methylcytosine dioxygenase 2 (TET2) deficiency elicits EGFR-TKI (tyrosine kinase inhibitors) resistance in non-small cell lung cancer.,"Despite epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors (TKI) have shown remarkable efficacy in patients with EGFR-mutant non-small cell lung cancer (NSCLC), acquired resistance inevitably develops, limiting clinical efficacy. We found that TET2 was poly-ubiquitinated by E3 ligase CUL7FBXW11 and degraded in EGFR-TKI resistant NSCLC cells. Genetic perturbation of TET2 rendered pa",https://pubmed.ncbi.nlm.nih.gov/38461173/,6,6,1,
Q4,EGFR tyrosine kinase inhibitor resistance non-small cell,pubmed,32497570,Nanomodified strategies to overcome EGFR-tyrosine kinase inhibitors resistance in non-small cell lung cancer.,"Lung cancer is the primary cause of cancer-related death worldwide. 85%-90% of cases are non-small cell lung cancer (NSCLC) which characteristically exhibits altered epidermal growth factor receptor (EGFR) signaling is a major driver pathway. Unfortunately, therapeutic outcomes in treating NSCLC are compromised by the emergence of drug resistance in response to EGFR-tyrosine kinase inhibitor (TKI)",https://pubmed.ncbi.nlm.nih.gov/32497570/,7,,1,
Q4,EGFR tyrosine kinase inhibitor resistance non-small cell,pubmed,38760351,Ferritinophagy mediates adaptive resistance to EGFR tyrosine kinase inhibitors in non-small cell lung cancer.,"Osimertinib (Osi) is a widely used epidermal growth factor receptor tyrosine kinase inhibitor (EGFR-TKI). However, the emergence of resistance is inevitable, partly due to the gradual evolution of adaptive resistant cells during initial treatment. Here, we find that Osi treatment rapidly triggers adaptive resistance in tumor cells. Metabolomics analysis reveals a significant enhancement of oxidati",https://pubmed.ncbi.nlm.nih.gov/38760351/,8,4,1,
Q4,EGFR tyrosine kinase inhibitor resistance non-small cell,pubmed,28188446,Treatment Options for EGFR T790M-Negative EGFR Tyrosine Kinase Inhibitor-Resistant Non-Small Cell Lung Cancer.,"The introduction of first- and second-generation EGFR-tyrosine kinase inhibitors (TKIs) (gefitinib, erlotinib and afatinib) for the treatment of advanced EGFR-mutant non-small cell lung cancer (NSCLC) has dramatically improved patients' prognosis and quality of life (QoL). Unfortunately, after an initial and sometimes durable benefit from EGFR-TKI therapy, all patients with EGFR-mutant lung cancer",https://pubmed.ncbi.nlm.nih.gov/28188446/,9,2,1,
Q4,EGFR tyrosine kinase inhibitor resistance non-small cell,pubmed,39366135,Advancements in fourth-generation EGFR TKIs in EGFR-mutant NSCLC: Bridging biological insights and therapeutic development.,"Third-generation EGFR tyrosine kinase inhibitor (TKIs) have revolutionized the treatment landscape for patients with non-small cell lung cancer (NSCLC) harboring EGFR activating mutations, with improved long-term outcomes compared to first-generation TKIs. Nevertheless, disease progression inevitably occurs, limiting osimertinib long-term efficacy. Indeed, the molecular biology underlying acquired",https://pubmed.ncbi.nlm.nih.gov/39366135/,10,,1,
