query_id,query_text,source,paper_id,title,abstract_preview,url,tfidf_rank,biobert_rank,relevant,notes
Q5,Alzheimer disease APOE neurodegeneration amyloid,pubmed,32209402,APOE in Alzheimer's disease and neurodegeneration.,,https://pubmed.ncbi.nlm.nih.gov/32209402/,1,1,1,
Q5,Alzheimer disease APOE neurodegeneration amyloid,pubmed,38504517,APOE2 gene therapy reduces amyloid deposition and improves markers of neuroinflammation and neurodegeneration in a mouse model of Alzheimer disease.,"Epidemiological studies show that individuals who carry the relatively uncommon APOE ε2 allele rarely develop Alzheimer disease, and if they do, they have a later age of onset, milder clinical course, and less severe neuropathological findings than people without this allele. The contrast is especially stark when compared with the major genetic risk factor for Alzheimer disease, APOE ε4, which has",https://pubmed.ncbi.nlm.nih.gov/38504517/,2,8,1,
Q5,Alzheimer disease APOE neurodegeneration amyloid,pubmed,38375983,Silencing Apoe with divalent-siRNAs improves amyloid burden and activates immune response pathways in Alzheimer's disease.,"The most significant genetic risk factor for late-onset Alzheimer's disease (AD) is APOE4, with evidence for gain- and loss-of-function mechanisms. A clinical need remains for therapeutically relevant tools that potently modulate APOE expression. We optimized small interfering RNAs (di-siRNA, GalNAc) to potently silence brain or liver Apoe and evaluated the impact of each pool of Apoe on pathology",https://pubmed.ncbi.nlm.nih.gov/38375983/,3,,1,
Q5,Alzheimer disease APOE neurodegeneration amyloid,pubmed,34815562,The probabilistic model of Alzheimer disease: the amyloid hypothesis revised.,"The current conceptualization of Alzheimer disease (AD) is driven by the amyloid hypothesis, in which a deterministic chain of events leads from amyloid deposition and then tau deposition to neurodegeneration and progressive cognitive impairment. This model fits autosomal dominant AD but is less applicable to sporadic AD. Owing to emerging information regarding the complex biology of AD and the ch",https://pubmed.ncbi.nlm.nih.gov/34815562/,4,2,0,
Q5,Alzheimer disease APOE neurodegeneration amyloid,pubmed,33176118,Apolipoprotein E: Structural Insights and Links to Alzheimer Disease Pathogenesis.,"Apolipoprotein E (ApoE) is of great interest due to its role as a cholesterol/lipid transporter in the central nervous system (CNS) and as the most influential genetic risk factor for Alzheimer disease (AD). Work over the last four decades has given us important insights into the structure of ApoE and how this might impact the neuropathology and pathogenesis of AD. In this review, we highlight the",https://pubmed.ncbi.nlm.nih.gov/33176118/,5,,1,
Q5,Alzheimer disease APOE neurodegeneration amyloid,pubmed,31367008,Apolipoprotein E and Alzheimer disease: pathobiology and targeting strategies.,"Polymorphism in the apolipoprotein E (APOE) gene is a major genetic risk determinant of late-onset Alzheimer disease (AD), with the APOE*ε4 allele conferring an increased risk and the APOE*ε2 allele conferring a decreased risk relative to the common APOE*ε3 allele. Strong evidence from clinical and basic research suggests that a major pathway by which APOE4 increases the risk of AD is by driving e",https://pubmed.ncbi.nlm.nih.gov/31367008/,6,,1,
Q5,Alzheimer disease APOE neurodegeneration amyloid,pubmed,40856646,ApoE-calypse tau: ApoE-tau synergy in Alzheimer's disease.,"Alzheimer's disease (AD), the most common cause of dementia, is characterized by the accumulation of amyloid-β (Aβ) in senile plaques and abnormally hyperphosphorylated tau proteins in neurofibrillary tangles. While much of the research has focused on Aβ, tau-mediated neurodegeneration is more closely associated with synaptic loss and cognitive decline in AD, emphasizing the need for a deeper unde",https://pubmed.ncbi.nlm.nih.gov/40856646/,7,4,1,
Q5,Alzheimer disease APOE neurodegeneration amyloid,pubmed,35232622,APOE mediated neuroinflammation and neurodegeneration in Alzheimer's disease.,"Neuroinflammation is a central mechanism involved in neurodegeneration as observed in Alzheimer's disease (AD), the most prevalent form of neurodegenerative disease. Apolipoprotein E4 (APOE4), the strongest genetic risk factor for AD, directly influences disease onset and progression by interacting with the major pathological hallmarks of AD including amyloid-β plaques, neurofibrillary tau tangles",https://pubmed.ncbi.nlm.nih.gov/35232622/,8,5,1,
Q5,Alzheimer disease APOE neurodegeneration amyloid,pubmed,40965291,Periventricular diffusivity reflects APOE ε4-modulated amyloid accumulation and cognitive impairment in the Alzheimer's disease continuum.,"Altered glymphatic-related fluid dynamics are increasingly recognized as a feature of Alzheimer's disease (AD). We generalized an established diffusion imaging framework to quantify periventricular diffusivity (PVeD), hypothesizing that fast diffusion signals in the periventricular region can reflect amyloid beta (Aβ) deposition across the AD continuum. Participants from two multi-site cohorts (n ",https://pubmed.ncbi.nlm.nih.gov/40965291/,9,,1,
Q5,Alzheimer disease APOE neurodegeneration amyloid,pubmed,39232848,Updates in Alzheimer's disease: from basic research to diagnosis and therapies.,"Alzheimer's disease (AD) is the most common neurodegenerative disorder, characterized pathologically by extracellular deposition of β-amyloid (Aβ) into senile plaques and intracellular accumulation of hyperphosphorylated tau (pTau) as neurofibrillary tangles. Clinically, AD patients show memory deterioration with varying cognitive dysfunctions. The exact molecular mechanisms underlying AD are stil",https://pubmed.ncbi.nlm.nih.gov/39232848/,10,6,0,
